Node_ID,IP_Address,MAC_Address,Role,Subnet,RAM_GB,CPU_Cores,Status,OS
react-frontend-01,10.14.10.11,0A:11:22:33:44:01,react-frontend,VLAN-10,8,4,Active,Ubuntu 22.04
react-frontend-02,10.14.10.12,0A:11:22:33:44:02,react-frontend,VLAN-10,8,4,Active,Ubuntu 22.04
react-frontend-03,10.14.10.13,0A:11:22:33:44:03,react-frontend,VLAN-10,8,4,Active,Ubuntu 22.04
react-frontend-04,10.14.10.14,0A:11:22:33:44:04,react-frontend,VLAN-10,8,4,Active,Ubuntu 22.04
react-frontend-05,10.14.10.15,0A:11:22:33:44:05,react-frontend,VLAN-10,8,4,Active,Ubuntu 22.04
express-backend-01,10.14.20.41,0A:11:22:33:44:06,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-02,10.14.20.42,0A:11:22:33:44:07,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-03,10.14.20.43,0A:11:22:33:44:08,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-04,10.14.20.44,00:1A:2B:99:88:77,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-05,10.14.20.45,0A:11:22:33:44:0A,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-06,10.14.20.46,0A:11:22:33:44:0B,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-07,10.14.20.47,0A:11:22:33:44:0C,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-08,10.14.20.48,0A:11:22:33:44:0D,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-09,10.14.20.49,0A:11:22:33:44:0E,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
express-backend-10,10.14.20.50,0A:11:22:33:44:0F,express-backend,VLAN-20,16,8,Active,Ubuntu 22.04
mongo-primary-01,10.14.30.81,0A:11:22:33:44:10,mongo-primary,VLAN-30,32,16,Active,Ubuntu 22.04
mongo-replica-01,10.14.30.82,0A:11:22:33:44:11,mongo-replica,VLAN-30,32,16,Active,Ubuntu 22.04
mongo-replica-02,10.14.30.83,0A:11:22:33:44:12,mongo-replica,VLAN-30,32,16,Active,Ubuntu 22.04
mongo-replica-03,10.14.30.84,0A:11:22:33:44:13,mongo-replica,VLAN-30,32,16,Active,Ubuntu 22.04
mongo-replica-04,10.14.30.85,0A:11:22:33:44:14,mongo-replica,VLAN-30,32,16,Active,Ubuntu 22.04
redis-cache-01,10.14.40.101,0A:11:22:33:44:15,redis-cache,VLAN-40,16,4,Active,Ubuntu 22.04
redis-cache-02,10.14.40.102,0A:11:22:33:44:16,redis-cache,VLAN-40,16,4,Active,Ubuntu 22.04
redis-cache-03,10.14.40.103,0A:11:22:33:44:17,redis-cache,VLAN-40,16,4,Active,Ubuntu 22.04
redis-cache-04,10.14.40.104,0A:11:22:33:44:18,redis-cache,VLAN-40,16,4,Active,Ubuntu 22.04
redis-cache-05,10.14.40.105,0A:11:22:33:44:19,redis-cache,VLAN-40,16,4,Active,Ubuntu 22.04
nginx-lb-01,10.14.50.201,0A:11:22:33:44:1A,nginx-lb,VLAN-50,8,4,Active,Ubuntu 22.04
nginx-lb-02,10.14.50.202,0A:11:22:33:44:1B,nginx-lb,VLAN-50,8,4,Active,Ubuntu 22.04
elk-logger-01,10.14.60.211,0A:11:22:33:44:1C,elk-logger,VLAN-60,32,16,Active,Ubuntu 22.04
elk-logger-02,10.14.60.212,0A:11:22:33:44:1D,elk-logger,VLAN-60,32,16,Active,Ubuntu 22.04
elk-logger-03,10.14.60.213,0A:11:22:33:44:1E,elk-logger,VLAN-60,32,16,Active,Ubuntu 22.04
