Architecture,Model,VRAM_GB,Memory_Bandwidth_GBs,FP32_TFLOPS,Tensor_Cores,TDP_W,MSRP_USD,Release_Year
Ampere,A10,24,600,31.2,72,150,2500,2021
Ampere,A30,24,933,10.3,356,165,4000,2021
Ampere,A40,48,696,37.4,10752,300,4500,2020
Ampere,A100_40GB,40,1555,19.5,432,250,10000,2020
Ampere,A100_80GB,80,2039,19.5,432,300,15000,2021
Ada_Lovelace,L4,24,300,30.3,7424,72,2000,2023
Ada_Lovelace,L40,48,864,90.5,18176,300,6000,2022
Ada_Lovelace,L40S,48,864,91.6,18176,350,6500,2023
Hopper,H100_PCIe,80,2039,51.2,528,350,30000,2022
Hopper,H100_SXM,80,3350,60.0,528,700,35000,2022
Hopper,H200_SXM,141,4800,60.0,528,700,40000,2023
Turing,T4,16,320,8.1,320,70,1500,2018
Volta,V100_16GB,16,900,14.0,640,250,8000,2017
Volta,V100_32GB,32,900,14.0,640,250,10000,2018
Pascal,P40,24,346,11.7,0,250,5000,2016
