Target_IP,MAC_Address,Port,Service_Banner,Raw_Payload_Signature,Base_Severity,CVSS_Base
10.14.10.11,0A:11:22:33:44:01,80,React-Router,None,Informational,0.0
10.14.10.12,0A:11:22:33:44:02,80,React-Router,None,Informational,0.0
10.14.10.13,0A:11:22:33:44:03,80,React-Router,None,Informational,0.0
10.14.10.14,0A:11:22:33:44:04,80,React-Router,None,Informational,0.0
10.14.10.15,0A:11:22:33:44:05,80,React-Router,None,Informational,0.0
10.14.20.41,0A:11:22:33:44:06,3000,Node.js Express,None,Informational,0.0
10.14.20.42,0A:11:22:33:44:07,3000,Node.js Express,None,Informational,0.0
10.14.20.43,0A:11:22:33:44:08,3000,Node.js Express,None,Informational,0.0
10.14.20.44,00:1A:2B:99:88:77,3000,Node.js Express,Prototype pollution via __proto__ injection,Medium,5.5
10.14.20.45,0A:11:22:33:44:0A,3000,Node.js Express,None,Informational,0.0
10.14.20.46,0A:11:22:33:44:0B,3000,Node.js Express,None,Informational,0.0
10.14.20.47,0A:11:22:33:44:0C,3000,Node.js Express,None,Informational,0.0
10.14.20.48,0A:11:22:33:44:0D,3000,Node.js Express,None,Informational,0.0
10.14.20.49,0A:11:22:33:44:0E,3000,Node.js Express,None,Informational,0.0
10.14.20.50,0A:11:22:33:44:0F,3000,Node.js Express,None,Informational,0.0
10.14.30.81,0A:11:22:33:44:10,27017,MongoDB 4.4.1,None,Informational,0.0
10.14.30.82,0A:11:22:33:44:11,27017,MongoDB 4.4.1,None,Informational,0.0
10.14.30.83,0A:11:22:33:44:12,27017,MongoDB 4.4.1,None,Informational,0.0
10.14.30.84,0A:11:22:33:44:13,27017,MongoDB 4.4.1,None,Informational,0.0
10.14.30.85,0A:11:22:33:44:14,27017,MongoDB 4.4.1,None,Informational,0.0
10.14.40.101,0A:11:22:33:44:15,6379,Redis 6.0.5,None,Informational,0.0
10.14.40.102,0A:11:22:33:44:16,6379,Redis 6.0.5,None,Informational,0.0
10.14.40.103,0A:11:22:33:44:17,6379,Redis 6.0.5,None,Informational,0.0
10.14.40.104,0A:11:22:33:44:18,6379,Redis 6.0.5,None,Informational,0.0
10.14.40.105,0A:11:22:33:44:19,6379,Redis 6.0.5,None,Informational,0.0
10.14.50.201,0A:11:22:33:44:1A,443,Nginx 1.18,None,Informational,0.0
10.14.50.202,0A:11:22:33:44:1B,443,Nginx 1.18,None,Informational,0.0
10.14.60.211,0A:11:22:33:44:1C,9200,Elasticsearch,None,Informational,0.0
10.14.60.212,0A:11:22:33:44:1D,9200,Elasticsearch,None,Informational,0.0
10.14.60.213,0A:11:22:33:44:1E,9200,Elasticsearch,None,Informational,0.0
