Node_ID,IP_Address,Avg_CPU_Util,Max_CPU_Util,Avg_Memory_Util,Max_Memory_Util,Disk_IOPS,Net_Tx_GB,Net_Rx_GB,Uptime_Days
react-frontend-01,10.14.10.11,0.12,0.45,0.45,0.6,150,45.2,12.1,88
react-frontend-02,10.14.10.12,0.15,0.5,0.42,0.55,145,42.1,11.5,88
react-frontend-03,10.14.10.13,0.11,0.38,0.38,0.5,130,38.9,10.2,88
react-frontend-04,10.14.10.14,0.65,0.9,0.8,0.95,450,120.5,45.8,88
react-frontend-05,10.14.10.15,0.7,0.95,0.85,0.98,480,135.2,50.1,88
express-backend-01,10.14.20.41,0.18,0.4,0.5,0.65,220,85.4,30.2,88
express-backend-02,10.14.20.42,0.14,0.35,0.48,0.6,210,80.1,28.5,88
express-backend-03,10.14.20.43,0.85,0.98,0.9,0.99,850,240.5,120.4,88
express-backend-04,10.14.20.44,0.1,0.25,0.4,0.55,180,60.2,20.1,88
express-backend-05,10.14.20.45,0.88,0.99,0.85,0.95,820,230.1,115.8,88
express-backend-06,10.14.20.46,0.92,1.0,0.91,0.98,890,260.4,130.5,88
express-backend-07,10.14.20.47,0.8,0.95,0.75,0.85,750,200.5,95.4,88
express-backend-08,10.14.20.48,0.81,0.92,0.77,0.88,760,205.1,98.2,88
express-backend-09,10.14.20.49,0.83,0.96,0.8,0.9,780,210.8,102.5,88
express-backend-10,10.14.20.50,0.89,0.99,0.88,0.97,860,245.2,122.1,88
mongo-primary-01,10.14.30.81,0.75,0.85,0.85,0.92,1500,500.2,450.1,88
mongo-replica-01,10.14.30.82,0.6,0.75,0.7,0.8,1200,400.1,380.5,88
mongo-replica-02,10.14.30.83,0.62,0.77,0.72,0.82,1250,410.5,390.2,88
mongo-replica-03,10.14.30.84,0.58,0.7,0.68,0.75,1150,380.2,360.8,88
mongo-replica-04,10.14.30.85,0.65,0.8,0.75,0.85,1300,420.8,400.5,88
redis-cache-01,10.14.40.101,0.4,0.6,0.8,0.9,800,150.2,140.5,88
redis-cache-02,10.14.40.102,0.42,0.65,0.82,0.92,820,155.5,145.2,88
redis-cache-03,10.14.40.103,0.38,0.55,0.78,0.88,780,145.1,135.8,88
redis-cache-04,10.14.40.104,0.45,0.7,0.85,0.95,850,160.8,150.2,88
redis-cache-05,10.14.40.105,0.41,0.62,0.81,0.91,810,152.4,142.1,88
nginx-lb-01,10.14.50.201,0.3,0.5,0.2,0.35,100,500.5,500.5,88
nginx-lb-02,10.14.50.202,0.32,0.55,0.22,0.38,110,510.2,510.2,88
elk-logger-01,10.14.60.211,0.5,0.75,0.6,0.8,2000,50.1,600.5,88
elk-logger-02,10.14.60.212,0.55,0.8,0.65,0.85,2200,55.2,650.2,88
elk-logger-03,10.14.60.213,0.48,0.7,0.58,0.75,1900,48.5,580.8,88
